Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-18,Cerebral Agency,https://cerebral-agency.co.uk,"info@cerebral-agency.co.uk, clair@cerebral-agency.co.uk, tracy@cerebral-agency.co.uk, jay@cerebral-agency.co.uk, ellie@cerebral-agency.co.uk, alex@cerebral-agency.co.uk","info@cerebral-agency.co.uk, clair@cerebral-agency.co.uk, tracy@cerebral-agency.co.uk, jay@cerebral-agency.co.uk",valid,235 2002,,emailed
2026-08-14,Fenti Marketing,https://fenti.co.uk,hello@fenti.co.uk,,invalid,7432597,,new
2026-08-19,Get-Found,https://get-found.co.uk,"your@company.co.uk, info@get-found.co.uk, you@company.co.uk, sales@get-found.co.uk, hello@get-found.co.uk","info@get-found.co.uk, sales@get-found.co.uk, hello@get-found.co.uk",valid,752 9211,,emailed
2026-08-15,Telsa Media,https://telsamedia.com,"krutarth@telsamedia.com, hello@telsamedia.com, you@yourcompany.com","krutarth@telsamedia.com, hello@telsamedia.com",valid,203 3223,,emailed
2026-09-25,The Sheffield Marketing Company,https://thesheffieldmarketing.co,info@dialledin.com,info@dialledin.com,catch_all,312 2330,,new
2026-08-18,Unit Digital,https://unitdigital.co.uk,hello@unitdigital.co.uk,hello@unitdigital.co.uk,valid,491 0111,,emailed
2026-08-18,Bubble Design,https://www.bubbledesign.co.uk,studio@bubbledesign.co.uk,studio@bubbledesign.co.uk,catch_all,777 7022,,emailed
2026-08-18,FORTAYmedia,https://www.fortaymedia.co.uk,enquiries@fortaymedia.co.uk,enquiries@fortaymedia.co.uk,valid,276 0632,,emailed
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,emailed
2026-08-18,Splitpixel,https://www.splitpixel.co.uk,hello@splitpixel.co.uk,hello@splitpixel.co.uk,valid,6644133,,emailed
2026-09-25,Vivid Creative,https://www.vividcreative.com,studio@vividcreative.co.uk,studio@vividcreative.co.uk,valid,3799848,,new
