Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-17,Bendigo web design - web design bendigo,https://bendigoweb.design,support@bendigoweb.design,,unverified,3541003,,new
2026-08-17,Bendigo Web Design,https://bendigowebdesign.com.au,hello@bendigowebdesign.com.au,,unverified,670 4769,,new
2026-08-17,Bendigo Web Designs -,https://bendigowebdesigns.com.au,info@bendigowebdesigns.com.au,,unverified,,,new
2026-08-14,kcwebdesign.com.au,https://kcwebdesign.com.au,kyle@kcwebdesign.com.au,kyle@kcwebdesign.com.au,valid,,,emailed
2026-08-17,Bendigo Creative,https://www.bendigocreative.com.au,hello@bendigocreative.com.au,,unverified,"550								 
 
 
 
 
 
 
 0438",,new
2026-08-15,Brand Agency. Brand Design. Brand Strategy. Blunt Agency,https://www.bluntagency.com,careers@bluntagency.com,careers@bluntagency.com,valid,,,new
2026-08-15,"Creative Revolution: Custom Web Design, Branding & Digital Marketing Agency Bendigo",https://www.creativerevolution.com.au,"che@creativerevolution.com.au, digital@creativerevolution.com.au","che@creativerevolution.com.au, digital@creativerevolution.com.au",valid,613 5444,,new
2026-08-15,Madweb,https://www.madweb.com.au,hello@madweb.com.au,hello@madweb.com.au,catch_all,500 0489,,new
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-08-13,True Local - Local Business Directory for Australian Businesses,https://www.truelocal.com.au,support@thryv.com,support@thryv.com,valid,,,emailed
2026-08-13,Yellow Pages® | Your Local Australian Business Directory,https://www.yellowpages.com.au,support@thryv.com,support@thryv.com,valid,,,emailed
