Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-09-10,Cardiff Web,https://cardiffweb.co.uk,contact@cardiffweb.co.uk,,unverified,920 0032,,new
2026-08-19,FactoryJet,https://factoryjet.com,"john@company.com, connect@factoryjet.com",connect@factoryjet.com,catch_all,,,emailed
2026-08-13,Top IT Companies for Your Projects - TechBehemoths,https://techbehemoths.com,urteqitechnology@gmail.com,urteqitechnology@gmail.com,valid,,,emailed
2026-08-14,UKAgencies.co.uk,https://ukagencies.co.uk,hello@ukagencies.co.uk,,invalid,,,new
2026-09-26,Digital Agency Cardiff | CORE,https://wearecore.co.uk,"hello@wearecore.co.uk, jay@doe.com","hello@wearecore.co.uk, jay@doe.com",valid,6794809,,new
2026-08-17,Best Agencies,https://www.bestagencies.co.uk,"jane@company.com, info@bestagencies.co.uk",,unverified,,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-09-26,Moment Creative : Web Design Agency Cardiff,https://www.heymoment.co.uk,jake@heymoment.co.uk,jake@heymoment.co.uk,catch_all,,,new
2026-09-26,Web Design Wales | Web Design Cardiff | it'seeze Cardiff,https://www.itseeze-cardiff.co.uk,contact@itseeze.com,,unverified,921 6901,,new
2026-08-14,Outrank,https://www.outrank.co.uk,hello@outrank.co.uk,hello@outrank.co.uk,catch_all,3258200,,emailed
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,emailed
2026-09-03,Web Design Bristol | Web Development Bristol,https://www.websitesorted.com,info@websitesorted.com,,unverified,,,new
