Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-31,6am Design Studio | Hannover,https://6amdesign.de,info@6amdesign.de,info@6amdesign.de,catch_all,520 1000,,new
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-28,BBR Management,https://bbr-management.de,info@bbr-management.de,info@bbr-management.de,valid,8443656,,new
2026-08-13,Enests,https://enests.co,info@enests.co,,invalid,,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-14,Finden Sie die besten Unternehmen in Deutschland - ThreeBestRated.de,https://threebestrated.de,"reviews@threebestrated.de, press@threebestrated.com, support@threebestrated.de","reviews@threebestrated.de, support@threebestrated.de, press@threebestrated.com",valid,,,emailed
2026-08-22,Webdelo,https://webdelo.de,"legal@webdelo.de, sales@webdelo.de, accounting@webdelo.de, hr@webdelo.de, support@webdelo.de, info@webdelo.de, info@webdelo.com, info@webdelo.md",,unverified,433 3803034,,new
2026-08-14,AAM Consultants - Digital Marketing & Web Development Agency,https://www.aamconsultants.org,info@aamconsultants.org,,invalid,334-9955239,,new
2026-08-14,Agenturtipp.de,https://www.agenturtipp.de,info@agenturtipp.de,,unverified,3830386,,new
2026-08-14,Sortlist,https://www.sortlist.de,"janedoe@acme.com, jane.doe@acme.com, info@iseo.de, kunde@unternehmen.de",info@iseo.de,catch_all,,,emailed
2026-08-17,Basal Labs,https://www.thebasallabs.com,"info@thebasallabs.com, your@email.com",info@thebasallabs.com,catch_all,,,emailed
