Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-09-01,Web Design Agency Bath | Web Design | Website Design,https://actionwolfmedia.com,"hello@andrew.design, hello@actionwolfmedia.com",hello@actionwolfmedia.com,catch_all,,,new
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-24,"BenJohns — Web Design & Digital Consultancy, Bath",https://benjohns.co.uk,info@benjohns.co.uk,,unverified,,,new
2026-08-19,Direct First Web Design,https://direct-1st.com,info@direct-1st.com,,unverified,"754 833 
 0800",,new
2026-08-30,"Broadband, Home VoIP, Free Email, Web Hosting and Domains | Freeola",https://freeola.com,2a0e6f82eb8f46caa125cd68ecf0c94c@sentry.freeola.systems,,unverified,,,new
2026-09-01,Grumspot: Shopify Agency | Shopify Optimization Services,https://grumspot.com,"hello@grumspot.com, business@grumspot.com","hello@grumspot.com, business@grumspot.com",catch_all,,,new
2026-08-21,Mud,https://ournameismud.co.uk,hello@ournameismud.co.uk,hello@ournameismud.co.uk,catch_all,8589415,,new
2026-08-19,Cold Digital Agency | Web Design Branding Marketing | Essex,https://thisiscold.com,"admin@thisiscold.com, hello@thisiscold.com","admin@thisiscold.com, hello@thisiscold.com",catch_all,245 3776,,new
2026-08-21,Digital Marketing Agency Bath | Agency UK,https://www.agencyuk.com,hello@agencyuk.com,hello@agencyuk.com,valid,,,new
2026-08-17,Best Agencies,https://www.bestagencies.co.uk,"jane@company.com, info@bestagencies.co.uk",,unverified,,,new
2026-09-01,Bodkin,https://www.bodkin.studio,info@bodkin.studio,info@bodkin.studio,catch_all,,,new
2026-08-21,Full-Cycle Design & Development Company - Dreamx,https://www.dreamxweb.com,sale@dreamxweb.com,sale@dreamxweb.com,catch_all,,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-08-21,Fresco Creative,https://www.frescocreative.com,"innes@frescocreative.com, hello@frescocreative.com",,unverified,0787862479,,new
2026-08-21,"Design, Marketing and Advertising Services - Intuition Media",https://www.intuitionmedia.uk,hello@intuitionmedia.uk,,invalid,2610078,,new
2026-08-14,JDR Group: Marketing Agency in Derby | Digital Marketing Agency Derby,https://www.jdrgroup.co.uk,info@jdrgroup.co.uk,info@jdrgroup.co.uk,valid,5240332,,emailed
2026-08-24,"Web Design Agency in Bath - Award-Winning, 15+ Years | Mission",https://www.missionsystems.co.uk,"web-design-agency-bath-bristol-south-west-uk@1x.webp, south-east-water@1x-fs8.webp, features-google-pagespeed-performance@1x.webp, uryyb@zvffvbaflfgrzf.pb.hx, award-winning-web-developer-lovie-award-bronze@3x-fs8.webp, features-seo-search-engine-optimisation-agency@1x.webp, glaxosmithkline@1x-fs8.webp, about-us-marta@1x-fs8.webp, features-ui-ux-user-experience-experts@1x.webp, the-guardian@1x-fs8.webp, hello@missionsystems.co.uk, award-winning-web-developer-lovie-award-bronze@1x-fs8.webp, award-winning-web-development-lovie-award-gold@1x-fs8.webp, features-cro-conversion-rate-experts@1x.webp, about-us-dan@1x-fs8.webp, award-winning-web-development-lovie-award-gold@3x-fs8.webp, saur-uk@1x-fs8.webp",,unverified,225 9411,,new
2026-08-14,Outrank,https://www.outrank.co.uk,hello@outrank.co.uk,hello@outrank.co.uk,catch_all,3258200,,emailed
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,emailed
2026-08-24,White Media,https://www.whitemedia.uk,christopher@whitemedia.uk,,invalid,666 7412,,new
